EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
631,810,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,TRWD LAKE/RESERVOIR SYSTEM,3837,2983,5151,6471,8579,8626
632,55,"COUNTY-OTHER, TAYLOR",MUNICIPAL,G,TAYLOR,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,0,0,0,0,1,1
632,190,"COUNTY-OTHER, TAYLOR",MUNICIPAL,G,TAYLOR,N,DOCKUM AQUIFER | NOLAN,187,187,187,187,187,187
632,507,"COUNTY-OTHER, TAYLOR",MUNICIPAL,G,TAYLOR,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,165,90,23,0,0,0
632,963,"COUNTY-OTHER, TAYLOR",MUNICIPAL,G,TAYLOR,N,LYTLE LAKE/RESERVOIR,184,138,92,46,0,0
633,254,"COUNTY-OTHER, TERRELL",MUNICIPAL,E,TERRELL,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | TERRELL",43,43,43,43,43,43
634,504,"COUNTY-OTHER, TERRY",MUNICIPAL,O,TERRY,N,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | TERRY,363,363,363,363,363,363
635,55,"COUNTY-OTHER, THROCKMORTON",MUNICIPAL,G,THROCKMORTON,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,99,99,99,99,99,99
635,1054,"COUNTY-OTHER, THROCKMORTON",MUNICIPAL,G,THROCKMORTON,N,WOODSON LAKE/RESERVOIR,0,0,0,0,0,0
636,33,"COUNTY-OTHER, TITUS",MUNICIPAL,D,TITUS,N,BOB SANDLIN LAKE/RESERVOIR,687,743,776,810,848,890
636,123,"COUNTY-OTHER, TITUS",MUNICIPAL,D,TITUS,N,CARRIZO-WILCOX AQUIFER | TITUS,870,911,952,939,916,916
636,448,"COUNTY-OTHER, TITUS",MUNICIPAL,D,TITUS,N,NACATOCH AQUIFER | RED RIVER,76,76,76,76,76,76
