EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2030,P2040,P2050,P2060,P2070,P2080
641,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,6523,6109,5494,4696,3833,2902
642,"COUNTY-OTHER, UPTON",MUNICIPAL,F,UPTON,N,921,957,955,920,870,798
643,"COUNTY-OTHER, UVALDE",MUNICIPAL,L,UVALDE,N,4608,4603,4544,4462,4371,4271
644,"COUNTY-OTHER, VAL VERDE",MUNICIPAL,J,VAL VERDE,N,17639,17915,18144,18229,18315,18402
645,"COUNTY-OTHER, VAN ZANDT",MUNICIPAL,D,VAN ZANDT,N,17989,20861,22927,24735,25728,25829
646,"COUNTY-OTHER, VICTORIA",MUNICIPAL,L,VICTORIA,N,24631,25650,25926,25796,25647,25476
647,"COUNTY-OTHER, WALKER",MUNICIPAL,H,WALKER,N,11437,11030,10449,9184,7951,6716
648,"COUNTY-OTHER, WALLER",MUNICIPAL,H,WALLER,N,24298,30659,42346,57094,72867,89879
649,"COUNTY-OTHER, WARD",MUNICIPAL,F,WARD,N,941,1066,1196,1311,1437,1573
650,"COUNTY-OTHER, WASHINGTON",MUNICIPAL,G,WASHINGTON,N,10918,10501,10262,9525,8788,8050
651,"COUNTY-OTHER, WEBB",MUNICIPAL,M,WEBB,N,12504,8353,3925,3926,3931,3938
652,"COUNTY-OTHER, WHARTON",MUNICIPAL,K,WHARTON,Y,14175,14115,14209,14170,14121,14057
652,"COUNTY-OTHER, WHARTON",MUNICIPAL,P,WHARTON,Y,3434,3469,3407,3355,3297,3238
653,"COUNTY-OTHER, WHEELER",MUNICIPAL,A,WHEELER,N,1789,1735,1659,1595,1530,1460
654,"COUNTY-OTHER, WICHITA",MUNICIPAL,B,WICHITA,N,1165,1138,1054,967,878,789
655,"COUNTY-OTHER, WILBARGER",MUNICIPAL,B,WILBARGER,N,1126,1080,1014,942,875,811
656,"COUNTY-OTHER, WILLACY",MUNICIPAL,M,WILLACY,N,4665,4680,4326,3649,2822,1813
657,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,53875,100341,128100,158466,192605,230986
657,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,K,WILLIAMSON,Y,0,2428,592,1356,4844,13842
658,"COUNTY-OTHER, WILSON",MUNICIPAL,L,WILSON,N,5997,5881,5633,5137,4558,3875
659,"COUNTY-OTHER, WINKLER",MUNICIPAL,F,WINKLER,N,668,665,655,650,643,637
660,"COUNTY-OTHER, WISE",MUNICIPAL,C,WISE,N,52332,80325,120420,166350,227000,270000
661,"COUNTY-OTHER, WOOD",MUNICIPAL,D,WOOD,N,4923,4846,4493,4308,4020,3609
662,"COUNTY-OTHER, YOAKUM",MUNICIPAL,O,YOAKUM,N,1531,1582,1638,1733,1841,1959
663,"COUNTY-OTHER, YOUNG",MUNICIPAL,B,YOUNG,Y,583,601,585,610,609,608
663,"COUNTY-OTHER, YOUNG",MUNICIPAL,G,YOUNG,Y,3410,3436,3487,3514,3546,3583
664,"COUNTY-OTHER, ZAPATA",MUNICIPAL,M,ZAPATA,N,1162,1316,1424,1487,1537,1581
665,"COUNTY-OTHER, ZAVALA",MUNICIPAL,L,ZAVALA,N,1153,1121,1079,1029,979,919
666,CRAFT TURNEY WSC,MUNICIPAL,I,CHEROKEE,N,4720,4671,4580,4478,4377,4274
667,CRANDALL,MUNICIPAL,C,KAUFMAN,N,5598,12005,20084,29172,41195,49395
668,CRANE,MUNICIPAL,F,CRANE,N,3462,3513,3529,3529,3529,3529
