EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2030,SS2040,SS2050,SS2060,SS2070,SS2080
536,321,"COUNTY-OTHER, JIM WELLS",MUNICIPAL,N,JIM WELLS,N,GULF COAST AQUIFER SYSTEM | JIM WELLS,GROUNDWATER,5182,N,GULF COAST SUPPLIES - JIM WELLS COUNTY OTHER,GROUNDWATER WELLS AND OTHER,1621,1621,1621,1621,1621,1621
537,131,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,CARRIZO-WILCOX AQUIFER | WOOD,GROUNDWATER,5092,C,DWU - SABINE CONJUNCTIVE USE PART 1 GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,0,2,2,2
537,390,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,TRINITY INDIRECT REUSE,REUSE,2419,C,DWU - INDIRECT REUSE IMPLEMENTATION,INDIRECT REUSE,54,55,44,50,49,45
537,600,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,PALESTINE LAKE/RESERVOIR,SURFACE WATER,2712,C,DWU - LAKE PALESTINE,OTHER SURFACE WATER,0,109,82,87,84,76
537,639,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,QUEEN CITY AQUIFER | SMITH,GROUNDWATER,5092,C,DWU - SABINE CONJUNCTIVE USE PART 1 GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,0,10,10,9
537,640,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,QUEEN CITY AQUIFER | UPSHUR,GROUNDWATER,5092,C,DWU - SABINE CONJUNCTIVE USE PART 1 GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,0,9,9,9
537,644,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,QUEEN CITY AQUIFER | WOOD,GROUNDWATER,5092,C,DWU - SABINE CONJUNCTIVE USE PART 1 GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,0,3,2,1
537,663,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,NECHES RUN-OF-RIVER,SURFACE WATER,2218,I,UPPER NECHES RIVER MWA - NECHES RUN OF RIVER WITH LAKE PALESTINE,OTHER SURFACE WATER,0,0,0,0,49,45
537,1177,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,SABINE RIVER OFF-CHANNEL RESERVOIR,SURFACE WATER,6236,C,DWU - SABINE CONJUNCTIVE USE PART 2 SABINE OCR,NEW MAJOR RESERVOIR,0,0,0,0,0,62
537,1232,"COUNTY-OTHER, JOHNSON",MUNICIPAL,G,JOHNSON,N,DWU MAIN STEM BALANCING RESERVOIR,SURFACE WATER,2419,C,DWU - INDIRECT REUSE IMPLEMENTATION,NEW MAJOR RESERVOIR,0,0,98,107,105,95
538,55,"COUNTY-OTHER, JONES",MUNICIPAL,G,JONES,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,SURFACE WATER,5998,G,PURCHASE ADDITIONAL SUPPLY FROM ABILENE,OTHER SURFACE WATER,167,122,102,112,121,121
538,699,"COUNTY-OTHER, JONES",MUNICIPAL,G,JONES,N,SEYMOUR AQUIFER | JONES,GROUNDWATER,5789,G,SEYMOUR AQUIFER DEVELOPMENT,GROUNDWATER WELLS AND OTHER,400,402,402,405,408,411
539,,"COUNTY-OTHER, KARNES",MUNICIPAL,L,KARNES,N,DEMAND REDUCTION,DEMAND REDUCTION,5931,L,"MUNICIPAL WATER CONSERVATION - WATER USE REDUCTION - COUNTY-OTHER, KARNES",MUNICIPAL CONSERVATION,4,10,18,26,35,45
539,,"COUNTY-OTHER, KARNES",MUNICIPAL,L,KARNES,N,DEMAND REDUCTION,DEMAND REDUCTION,7167,L,"MUNICIPAL WATER CONSERVATION - WATER LOSS MITIGATION - COUNTY-OTHER, KARNES",MUNICIPAL CONSERVATION,3,3,3,3,3,4
539,1067,"COUNTY-OTHER, KARNES",MUNICIPAL,L,KARNES,N,RAINWATER HARVESTING,SURFACE WATER,6385,L,"RAINWATER HARVESTING - COUNTY-OTHER, KARNES",OTHER STRATEGIES,0,3,4,4,4,4
540,,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,DEMAND REDUCTION,DEMAND REDUCTION,1874,C,CONSERVATION - KAUFMAN COUNTY,MUNICIPAL CONSERVATION,6,12,24,36,59,79
