EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2030,N2040,N2050,N2060,N2070,N2080
162,439 WSC,MUNICIPAL,G,BELL,N,0,0,209,421,580,672
163,ABERNATHY,MUNICIPAL,O,HALE,Y,0,0,0,0,0,0
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,0,0,0,0,0,0
164,ABLES SPRINGS SUD,MUNICIPAL,C,KAUFMAN,Y,34,92,160,223,279,311
164,ABLES SPRINGS SUD,MUNICIPAL,D,HUNT,Y,3,9,16,20,24,27
164,ABLES SPRINGS SUD,MUNICIPAL,D,VAN ZANDT,Y,1,1,2,2,2,2
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,0,0,0,0,162,439
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,0,0,0,0,0,0
166,ADDISON,MUNICIPAL,C,DALLAS,N,655,1138,1646,2037,2448,2816
168,ALAMO,MUNICIPAL,M,HIDALGO,N,0,0,0,0,0,0
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,488,483,483,483,483,483
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,0,0,0,0,0,0
171,ALEDO,MUNICIPAL,C,PARKER,N,136,255,382,530,683,800
172,ALICE,MUNICIPAL,N,JIM WELLS,N,0,0,0,0,0,0
173,ALLEN,MUNICIPAL,C,COLLIN,N,2221,6286,9507,11644,12900,13701
174,ALPINE,MUNICIPAL,E,BREWSTER,N,0,0,0,0,0,0
175,ALTO,MUNICIPAL,I,CHEROKEE,N,0,0,0,0,0,0
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,124,209,306,414,533,665
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,0,0,0,0,0,0
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,123,259,319,359,380,435
180,ALVORD,MUNICIPAL,C,WISE,N,184,281,368,438,514,599
182,AMHERST,MUNICIPAL,O,LAMB,N,0,0,0,0,0,0
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,0,0,0,0,0,0
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,450,1085,2278,3589,4955,6403
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
187,ANNA,MUNICIPAL,C,COLLIN,N,2430,6513,9368,11953,14477,15825
188,ANNETTA,MUNICIPAL,C,PARKER,N,0,0,0,0,8,96
190,ANSON,MUNICIPAL,G,JONES,N,0,0,0,0,0,0
